review_content,dataset_sent_score,trained_model_sentiment_score
"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity",2,2
Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,4,4
"I still like Moonlight Mile , better judgment be damned",4,4
As inept as big-screen remakes of The Avengers and The Wild Wild West,3,2
"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash",2,4
"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid",1,2
This 100-minute movie only has about 25 minutes of decent material,1,2
Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers,5,5
"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made",5,5
"Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker",2,2
"Claude Chabrol 's camera has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements",4,4
The Pianist lacks the quick emotional connections of Steven Spielberg 's Schindler 's List,3,4
It 's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another,3,2
Changing Lanes tries for more,4,4
Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power,5,5
"Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner",4,4
"The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension",1,3
"Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action",1,1
"It feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs",2,2
The story alone could force you to scratch a hole in your head,2,2
"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents",1,2
The dragons are the real stars of Reign of Fire and you wo n't be disappointed,4,4
"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema",5,5
One of those joyous films that leaps over national boundaries and celebrates universal human nature,4,4
"Too much of Storytelling moves away from Solondz 's social critique , casting its audience as that of intellectual lector in contemplation of the auteur 's professional injuries",2,2
"Ultimately , clarity matters , both in breaking codes and making movies",3,3
To say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor,1,2
"Ritchie 's film is easier to swallow than Wertmuller 's polemical allegory , but it 's self-defeatingly decorous",2,2
"Starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and Bruce Willis with a scar",1,2
Jackson is always watchable,4,4
"While Insomnia is in many ways a conventional , even predictable remake , Nolan 's penetrating undercurrent of cerebral and cinemantic flair lends -LRB- it -RRB- stimulating depth",4,4
A moving and important film,5,5
"We never feel anything for these characters , and as a result the film is basically just a curiosity",2,2
"The film is darkly atmospheric , with Herrmann quietly suggesting the sadness and obsession beneath Hearst 's forced avuncular chortles",3,4
The movie 's downfall is to substitute plot for personality,2,2
A coming-of-age film,3,5
"Ourside the theatre Roger might be intolerable company , but inside it he 's well worth spending some time with",4,4
Its almost too-spectacular coastal setting distracts slightly from an eccentric and good-naturedly aimless story,4,4
"If Festival in Cannes nails hard - boiled Hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing",2,2
"I never thought I 'd say this , but I 'd much rather watch teens poking their genitals into fruit pies !",2,2
"Unspools like a highbrow , low-key , 102-minute infomercial , blending entrepreneurial zeal with the testimony of satisfied customers",3,3
She allows each character to confront their problems openly and honestly,4,4
We do n't get paid enough to sit through crap like this,1,1
"What with the incessant lounge music playing in the film 's background , you may mistake Love Liza for an Adam Sandler Chanukah song",3,3
"It 's at once laughable and compulsively watchable , in its committed dumbness",4,3
"It 's a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics",4,4
A potentially good comic premise and excellent cast are terribly wasted,2,2
This is a film living far too much in its own head,2,2
"For all its plot twists , and some of them verge on the bizarre as the film winds down , Blood Work is a strong , character-oriented piece",3,4
"The movie is amateurish , but it 's a minor treat",4,4